restaurant_key,restaurant google map url,neighborhood,address,coordinates,details_monday,details_tuesday,details_wednesday,details_thursday,details_friday,details_saturday,details_sunday,details_games,details_haunted
Akuma,https://maps.google.com/?cid=2595498613213003003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"8267 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0911687,-118.3694558","3pm-5pm 
50% house sake / draft beer / wine","3pm-5pm 
50% house sake / draft beer / wine","3pm-5pm 
50% house sake / draft beer / wine","3pm-5pm 
50% house sake / draft beer / wine","3pm-5pm 
50% house sake / draft beer / wine",,,,
Badmaash,https://maps.google.com/?cid=6203232972313248096&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"108 W 2nd St APT 104, Los Angeles, CA 90012, USA","34.0510122,-118.2450272","3-6pm; 9 - 10pm
$10 wine / $6 beer / $6-10 food specials","3-6pm; 9 - 10pm
$10 wine / $6 beer / $6-10 food specials","3-6pm; 9 - 10pm
$10 wine / $6 beer / $6-10 food specials","3-6pm; 9 - 10pm
$10 wine / $6 beer / $6-10 food specials","3-6pm
$10 wine / $6 beer / $6-10 food specials","3-6pm
$10 wine / $6 beer / $6-10 food specials","3-6pm; 9 - 10pm
$10 wine / $6 beer / $6-10 food specials",,
Bao Dim Sum,https://maps.google.com/?cid=4944968511888131955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"8256 Beverly Blvd, Los Angeles, CA 90048, USA","34.0758449,-118.369864","5-7pm; 
$7 Beers Wines Wells / 
$9 apps / $10 cocktails","5-7pm; 
$7 Beers Wines Wells / 
$9 apps / $10 cocktails","5-7pm; 
$7 Beers Wines Wells / 
$9 apps / $10 cocktails","5-7pm; 
$7 Beers Wines Wells / 
$9 apps / $10 cocktails","5-7pm; 
$7 Beers Wines Wells / 
$9 apps / $10 cocktails",N/A,N/A,,
Bar Lubitsch,https://maps.google.com/?cid=14816937346540407807&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7702 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0906215,-118.3567951",TBC,TBC,TBC,TBC,TBC,,,DANCING,N
Barney's Beanery,https://maps.google.com/?cid=3109210688223960768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"8447 Santa Monica Blvd, West Hollywood, CA 90069, USA","34.0908561,-118.374658",4-7pm,"4-7pm / 
Trivia @ 9pm!",4-7pm,4-7pm,4-7pm,,,POOL TABLES,Y
The Belmont,https://maps.google.com/?cid=5310394869457036678&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"747 N La Cienega Blvd, Los Angeles, CA 90069, USA","34.0848984,-118.3764756",N/A,"4-7pm
$5-$6 beers / $7 spirits / $6 wine Karaoke @ 9pm","4-7pm
$5-$6 beers / $7 spirits / Wine Weds $7 all day","4-7pm
$5-$6 beers / $7 spirits / $6 wine","4-7pm
$5-$6 beers / $7 spirits / $6 wine",,,TV'S,N
Blue Collar,https://maps.google.com/?cid=2445152445501683697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"361 S Fairfax Ave, Los Angeles, CA 90036, USA","34.0704064,-118.3616378",N/A,N/A,N/A,N/A,N/A,,,DARKNESS,M
Blue Daisy - Palihotel,https://maps.google.com/?cid=11889625348572158033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7950 Melrose Ave, Los Angeles, CA 90046, USA","34.0836191,-118.3628528","4-7pm
$9 Cocktails & Food","4-7pm
$9 Cocktails & Food","4-7pm
$9 Cocktails & Food","4-7pm
$9 Cocktails & Food","4-7pm
$9 Cocktails & Food",,,,N
Chao Krung,https://maps.google.com/?cid=17673482243836998847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"111 N Fairfax Ave, Los Angeles, CA 90036, USA","34.0747614,-118.3616963",4:30pm-6pm,4:30pm-6pm,4:30pm-6pm,4:30pm-6pm,4:30pm-6pm,4:30pm-6pm,4:30pm-6pm,,
The Den,https://maps.google.com/?cid=2894987656518709206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"8226 Sunset Blvd, West Hollywood, CA 90046, USA","34.0974728,-118.3682992",N/A,"5-7pm
$8 wells / $2 off all beers","5-7pm
$8 wells / $2 off all beers
Karaoke @ 9:45pm","5-7pm
$8 wells / $2 off all beers","5-7pm
$8 wells / $2 off all beers",,,,N
El Carmen,https://maps.google.com/?cid=8755073309619719288&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"8138 W 3rd St, Los Angeles, CA 90048, USA","34.07212579999999,-118.3672645","5-7pm; 
10:30 - 2:00am
$7 Margs / 
$3 tacos","5-7pm; 
10:30 - 2:00am
$7 Margs / 
$3 tacos","5-7pm; 
10:30 - 2:00am
$7 Margs / 
$3 tacos","5-7pm; 
10:30 - 2:00am
$7 Margs / 
$3 tacos","5-7pm;
$7 Margs / 
$3 tacos",,"5-7pm; 
10:30 - 2:00am
$7 Margs / 
$3 tacos",,N
EP-LP,https://maps.google.com/?cid=704670832781504746&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"603 N La Cienega Blvd, West Hollywood, CA 90069, USA","34.0821636,-118.3767877",4pm-6pm,4pm-6pm,4pm-6pm,4pm-6pm,4pm-6pm,,,HOES & TRICKS,N
