restaurant_key,restaurant google map url,address,raw response of the api
"Akuma USA","https://maps.google.com/?cid=2595498613213003003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8267 Santa Monica Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "8267 Santa Monica Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=2595498613213003003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Badmaash USA","https://maps.google.com/?cid=6203232972313248096&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","108 W 2nd St APT 104, Los Angeles, CA 90012, USA","{  "places": [    {      "formattedAddress": "108 W 2nd St APT 104, Los Angeles, CA 90012, USA",      "googleMapsUri": "https://maps.google.com/?cid=6203232972313248096&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Bao Dim Sum USA","https://maps.google.com/?cid=4944968511888131955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8256 Beverly Blvd, Los Angeles, CA 90048, USA","{  "places": [    {      "formattedAddress": "8256 Beverly Blvd, Los Angeles, CA 90048, USA",      "googleMapsUri": "https://maps.google.com/?cid=4944968511888131955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Bar Lubitsch USA","https://maps.google.com/?cid=14816937346540407807&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7702 Santa Monica Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "7702 Santa Monica Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=14816937346540407807&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Barney's Beanery USA","https://maps.google.com/?cid=3109210688223960768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8447 Santa Monica Blvd, West Hollywood, CA 90069, USA","{  "places": [    {      "formattedAddress": "8447 Santa Monica Blvd, West Hollywood, CA 90069, USA",      "googleMapsUri": "https://maps.google.com/?cid=3109210688223960768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"The Belmont USA","https://maps.google.com/?cid=5310394869457036678&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","747 N La Cienega Blvd, Los Angeles, CA 90069, USA","{  "places": [    {      "formattedAddress": "747 N La Cienega Blvd, Los Angeles, CA 90069, USA",      "googleMapsUri": "https://maps.google.com/?cid=5310394869457036678&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Blue Collar USA","https://maps.google.com/?cid=2445152445501683697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","361 S Fairfax Ave, Los Angeles, CA 90036, USA","{  "places": [    {      "formattedAddress": "361 S Fairfax Ave, Los Angeles, CA 90036, USA",      "googleMapsUri": "https://maps.google.com/?cid=2445152445501683697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Blue Daisy - Palihotel USA","https://maps.google.com/?cid=11889625348572158033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7950 Melrose Ave, Los Angeles, CA 90046, USA","{  "places": [    {      "formattedAddress": "7950 Melrose Ave, Los Angeles, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=11889625348572158033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Chao Krung USA","https://maps.google.com/?cid=17673482243836998847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","111 N Fairfax Ave, Los Angeles, CA 90036, USA","{  "places": [    {      "formattedAddress": "111 N Fairfax Ave, Los Angeles, CA 90036, USA",      "googleMapsUri": "https://maps.google.com/?cid=17673482243836998847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"The Den USA","https://maps.google.com/?cid=2894987656518709206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8226 Sunset Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "8226 Sunset Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=2894987656518709206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"El Carmen USA","https://maps.google.com/?cid=8755073309619719288&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8138 W 3rd St, Los Angeles, CA 90048, USA","{  "places": [    {      "formattedAddress": "8138 W 3rd St, Los Angeles, CA 90048, USA",      "googleMapsUri": "https://maps.google.com/?cid=8755073309619719288&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"EP-LP USA","https://maps.google.com/?cid=704670832781504746&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","603 N La Cienega Blvd, West Hollywood, CA 90069, USA","{  "places": [    {      "formattedAddress": "603 N La Cienega Blvd, West Hollywood, CA 90069, USA",      "googleMapsUri": "https://maps.google.com/?cid=704670832781504746&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Employees Only USA","https://maps.google.com/?cid=10568085337037402081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7953 Santa Monica Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "7953 Santa Monica Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=10568085337037402081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Formosa Cafe USA","https://maps.google.com/?cid=14682949317920149170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7156 Santa Monica Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "7156 Santa Monica Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=14682949317920149170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Gracias Madre USA","https://maps.google.com/?cid=16040271027876042526&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8905 Melrose Ave, West Hollywood, CA 90069, USA","{  "places": [    {      "formattedAddress": "8905 Melrose Ave, West Hollywood, CA 90069, USA",      "googleMapsUri": "https://maps.google.com/?cid=16040271027876042526&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Harlowe USA","https://maps.google.com/?cid=11662087089393420580&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7321 Santa Monica Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "7321 Santa Monica Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=11662087089393420580&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"The Henry USA","https://maps.google.com/?cid=10359485350366858713&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","120 N Robertson Blvd, Los Angeles, CA 90048, USA","{  "places": [    {      "formattedAddress": "120 N Robertson Blvd, Los Angeles, CA 90048, USA",      "googleMapsUri": "https://maps.google.com/?cid=10359485350366858713&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Hi-Tops USA","https://maps.google.com/?cid=4944047958818480040&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1714 N Vermont Ave, Los Angeles, CA 90027, USA","{  "places": [    {      "formattedAddress": "1714 N Vermont Ave, Los Angeles, CA 90027, USA",      "googleMapsUri": "https://maps.google.com/?cid=4944047958818480040&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Jones USA","https://maps.google.com/?cid=10057629126821585059&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7205 Santa Monica Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "7205 Santa Monica Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=10057629126821585059&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Kinari USA","https://maps.google.com/?cid=14077426528883217250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","801 N Fairfax Ave, Los Angeles, CA 90046, USA","{  "places": [    {      "formattedAddress": "801 N Fairfax Ave, Los Angeles, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=14077426528883217250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Laurel Hardware USA","https://maps.google.com/?cid=11980422767060992473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7984 Santa Monica Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "7984 Santa Monica Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=11980422767060992473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Las Perlas USA","https://maps.google.com/?cid=9931021046277700799&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","107 E 6th St, Los Angeles, CA 90014, USA","{  "places": [    {      "formattedAddress": "107 E 6th St, Los Angeles, CA 90014, USA",      "googleMapsUri": "https://maps.google.com/?cid=9931021046277700799&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Madre USA","https://maps.google.com/?cid=9250984602494581104&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","801 N Fairfax Ave #101, Los Angeles, CA 90046, USA","{  "places": [    {      "formattedAddress": "801 N Fairfax Ave #101, Los Angeles, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=9250984602494581104&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Melrose Umbrella Co. USA","https://maps.google.com/?cid=11321764694019804244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7465 Melrose Ave, Los Angeles, CA 90046, USA","{  "places": [    {      "formattedAddress": "7465 Melrose Ave, Los Angeles, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=11321764694019804244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Mercado USA","https://maps.google.com/?cid=8969681078057852800&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3425 1st St, Los Angeles, CA 90063, USA","{  "places": [    {      "formattedAddress": "3425 1st St, Los Angeles, CA 90063, USA",      "googleMapsUri": "https://maps.google.com/?cid=8969681078057852800&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"Mr. Furleys W 3rd USA","https://maps.google.com/?cid=6434826667180136871&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8445 W 3rd St, Los Angeles, CA 90048, USA","{  "places": [    {      "formattedAddress": "8445 W 3rd St, Los Angeles, CA 90048, USA",      "googleMapsUri": "https://maps.google.com/?cid=6434826667180136871&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
"OR Bar USA","https://maps.google.com/?cid=11872065185144145365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","8228 Santa Monica Blvd, West Hollywood, CA 90046, USA","{  "places": [    {      "formattedAddress": "8228 Santa Monica Blvd, West Hollywood, CA 90046, USA",      "googleMapsUri": "https://maps.google.com/?cid=11872065185144145365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"    }  ]}"
