restaurant_key,restaurant google map url,address,coordinates
Akuma USA,https://maps.google.com/?cid=2595498613213003003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8267 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0911687,-118.3694558"
Badmaash USA,https://maps.google.com/?cid=6203232972313248096&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"108 W 2nd St APT 104, Los Angeles, CA 90012, USA","34.0510122,-118.2450272"
Bao Dim Sum USA,https://maps.google.com/?cid=4944968511888131955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8256 Beverly Blvd, Los Angeles, CA 90048, USA","34.0758449,-118.369864"
Bar Lubitsch USA,https://maps.google.com/?cid=14816937346540407807&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"7702 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0906215,-118.3567951"
Barney's Beanery USA,https://maps.google.com/?cid=3109210688223960768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8447 Santa Monica Blvd, West Hollywood, CA 90069, USA","34.0908561,-118.374658"
The Belmont USA,https://maps.google.com/?cid=5310394869457036678&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"747 N La Cienega Blvd, Los Angeles, CA 90069, USA","34.0848984,-118.3764756"
Blue Collar USA,https://maps.google.com/?cid=2445152445501683697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"361 S Fairfax Ave, Los Angeles, CA 90036, USA","34.0704064,-118.3616378"
Blue Daisy - Palihotel USA,https://maps.google.com/?cid=11889625348572158033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"7950 Melrose Ave, Los Angeles, CA 90046, USA","34.0836191,-118.3628528"
Chao Krung USA,https://maps.google.com/?cid=17673482243836998847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"111 N Fairfax Ave, Los Angeles, CA 90036, USA","34.0747614,-118.3616963"
The Den USA,https://maps.google.com/?cid=2894987656518709206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8226 Sunset Blvd, West Hollywood, CA 90046, USA","34.0974728,-118.3682992"
El Carmen USA,https://maps.google.com/?cid=8755073309619719288&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8138 W 3rd St, Los Angeles, CA 90048, USA","34.07212579999999,-118.3672645"
EP-LP USA,https://maps.google.com/?cid=704670832781504746&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"603 N La Cienega Blvd, West Hollywood, CA 90069, USA","34.0821636,-118.3767877"
Employees Only USA,https://maps.google.com/?cid=10568085337037402081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"7953 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0910171,-118.3632014"
Formosa Cafe USA,https://maps.google.com/?cid=14682949317920149170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"7156 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0903968,-118.3459515"
