,,Happy Hours & Bar Specials in the Neighborhood,,,,,,,,
,,trime to get extra HRAPPY! ,,,,,,,,
,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,GAMES?!,HAUNTED?!
MELROSE FAIRFAX / WEHO,,,,,,,,,,
Akuma,https://maps.app.goo.gl/DR6U5FFeV1ahWapt5,"3pm-5pm 
50% house sake / draft beer / wine","3pm-5pm 
50% house sake / draft beer / wine","3pm-5pm 
50% house sake / draft beer / wine","3pm-5pm 
50% house sake / draft beer / wine","3pm-5pm 
50% house sake / draft beer / wine",,,,
Badmaash,https://maps.app.goo.gl/DR6U5FFeV1ahWapt5,"3-6pm; 9 - 10pm
$10 wine / $6 beer / $6-10 food specials","3-6pm; 9 - 10pm
$10 wine / $6 beer / $6-10 food specials","3-6pm; 9 - 10pm
$10 wine / $6 beer / $6-10 food specials","3-6pm; 9 - 10pm
$10 wine / $6 beer / $6-10 food specials","3-6pm
$10 wine / $6 beer / $6-10 food specials","3-6pm
$10 wine / $6 beer / $6-10 food specials","3-6pm; 9 - 10pm
$10 wine / $6 beer / $6-10 food specials",,
Bao Dim Sum,,"5-7pm; 
$7 Beers Wines Wells / 
$9 apps / $10 cocktails","5-7pm; 
$7 Beers Wines Wells / 
$9 apps / $10 cocktails","5-7pm; 
$7 Beers Wines Wells / 
$9 apps / $10 cocktails","5-7pm; 
$7 Beers Wines Wells / 
$9 apps / $10 cocktails","5-7pm; 
$7 Beers Wines Wells / 
$9 apps / $10 cocktails",N/A,N/A,,
Bar Lubitsch,,TBC,TBC,TBC,TBC,TBC,,,DANCING,N
Barney's Beanery,,4-7pm,"4-7pm / 
Trivia @ 9pm!",4-7pm,4-7pm,4-7pm,,,POOL TABLES,Y
The Belmont,,N/A,"4-7pm
$5-$6 beers / $7 spirits / $6 wine Karaoke @ 9pm","4-7pm
$5-$6 beers / $7 spirits / Wine Weds $7 all day","4-7pm
$5-$6 beers / $7 spirits / $6 wine","4-7pm
$5-$6 beers / $7 spirits / $6 wine",,,TV'S,N
Blue Collar,,N/A,N/A,N/A,N/A,N/A,,,DARKNESS,M
Blue Daisy - Palihotel,,"4-7pm
$9 Cocktails & Food","4-7pm
$9 Cocktails & Food","4-7pm
$9 Cocktails & Food","4-7pm
$9 Cocktails & Food","4-7pm
$9 Cocktails & Food",,,,N
Chao Krung,,4:30pm-6pm,4:30pm-6pm,4:30pm-6pm,4:30pm-6pm,4:30pm-6pm,4:30pm-6pm,4:30pm-6pm,,
The Den,,N/A,"5-7pm
$8 wells / $2 off all beers","5-7pm
$8 wells / $2 off all beers
Karaoke @ 9:45pm","5-7pm
$8 wells / $2 off all beers","5-7pm
$8 wells / $2 off all beers",,,,N
El Carmen,,"5-7pm; 
10:30 - 2:00am
$7 Margs / 
$3 tacos","5-7pm; 
10:30 - 2:00am
$7 Margs / 
$3 tacos","5-7pm; 
10:30 - 2:00am
$7 Margs / 
$3 tacos","5-7pm; 
10:30 - 2:00am
$7 Margs / 
$3 tacos","5-7pm;
$7 Margs / 
$3 tacos",,"5-7pm; 
10:30 - 2:00am
$7 Margs / 
$3 tacos",,N
EP-LP,,4pm-6pm,4pm-6pm,4pm-6pm,4pm-6pm,4pm-6pm,,,HOES & TRICKS,N
Employees Only,,N/A,"6-8pm
Food & $12 Drinks","6-8pm
Food & $12 Drinks","6-8pm
Food & $12 Drinks","6-8pm
Food & $12 Drinks","6-8pm
Food & $12 Drinks","6-8pm
Food & $12 Drinks",,N
Formosa Cafe,,"3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials",,H'D AF
Gracias Madre,,"3pm-6pm
$9 Marg / $6 Beer / $7 Bites
Mezcal Monday!","3pm-6pm
$9 Marg / $6 Beer / $7 Bites
Taco Tuesdays (3 for $25)!","3pm-6pm
$9 Marg / $6 Beer / $7 Bites","3pm-6pm
$9 Marg / $6 Beer / $7 Bites","3pm-6pm
$9 Marg / $6 Beer / $7 Bites",,,BEST OUTSIDE PATIO,N
Harlowe,,N/A,"5-7pm
$10 Cocktails / $8 Wells / $1 off Beer","5-7pm
$10 Cocktails / $8 Wells / $1 off Beer","5-7pm
$10 Cocktails / $8 Wells / $1 off Beer","5-7pm
$10 Cocktails / $8 Wells / $1 off Beer","5-7pm
$10 Cocktails / $8 Wells / $1 off Beer","5-7pm
$10 Cocktails / $8 Wells / $1 off Beer",DANCING; GHOSTS,H'D AF
The Henry,,"3 - 6pm
$8 draft beer /
$12 cocktails;
food deals","3 - 6pm
$8 draft beer /
$12 cocktails;
food deals","3 - 6pm
$8 draft beer /
$12 cocktails;
food deals","3 - 6pm
$8 draft beer /
$12 cocktails;
food deals","3 - 6pm
$8 draft beer /
$12 cocktails;
food deals",,,,
Hi-Tops,,"12pm-8pm
$5 all beer / $5 wells / $5 wings all day","12pm-8pm
$5 all beer / $5 wells
Trivia @ 8pm!","12pm-8pm
$5 all beer / $5 wells","12pm-8pm
$5 all beer / $5 wells","12pm-8pm
$5 all beer / $5 wells","12pm-8pm
$5 all beer / $5 wells","12pm-8pm
$5 all beer / $5 wells",TV'S; GAY BOYS,N
Jones,,"10:30pm - 2am /
$7 cocktails /
$5 beers / 
$10 HH Apps & Pizzas","10:30pm - 2am /
$7 cocktails /
$5 beers / 
$10 HH Apps & Pizzas","10:30pm - 2am /
$7 cocktails /
$5 beers / 
$10 HH Apps & Pizzas","10:30pm - 2am /
$7 cocktails /
$5 beers / 
$10 HH Apps & Pizzas",N/A,N/A,"10:30pm - 2am /
$7 cocktails /
$5 beers / 
$10 HH Apps & Pizzas",,
Kinari,,"4pm-7pm
$6 Draft / $9 Sake / Food","4pm-7pm
$6 Draft / $9 Sake / Food","4pm-7pm 
$6 Draft / $9 Sake / Food","4pm-7pm 
$6 Draft / $9 Sake / Food","4pm-7pm 
$6 Draft / $9 Sake / Food",,,TV'S,Y; By Fat Dogs
Laurel Hardware,,"5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food",,
Las Perlas,,"5-8pm bar / 
5-7pm tacos back patio","5-8pm bar / 
5-7pm tacos back patio","5-8pm bar / 
5-7pm tacos back patio","5-8pm bar / 
5-7pm tacos back patio","5-8pm bar / 
5-7pm tacos back patio",,,,N
Madre,,"3-6pm
$9 margaritas / $6 taco apps","3-6pm
$9 margaritas / $6 taco apps","3-6pm
$9 margaritas / $6 taco apps","3-6pm
$9 margaritas / $6 taco apps","3-6pm
$9 margaritas / $6 taco apps",,,,N
Melrose Umbrella Co.,,"5-7pm
$12 cocktails / 
$5 Miller HL","5-7pm
$12 cocktails / 
$5 Miller HL","5-7pm
$12 cocktails / 
$5 Miller HL","5-7pm
$12 cocktails / 
$5 Miller HL","5-7pm
$12 cocktails / 
$5 Miller HL",,,GHOSTS,H'D AF
Mercado,,,5-7pm,5-7pm,5-7pm,4 - 6pm,4 - 6pm,4 - 6pm,,N
Mr. Furleys W 3rd,,"5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE",DARTS; POOL TABLE,M
OR Bar,,"4pm-7pm
$9 Cocktails / $6.50 Beer / $13 Martinis/Negronis","4pm-7pm
$9 Cocktails / $6.50 Beer / $13 Martinis/Negronis","4pm-7pm
$9 Cocktails / $6.50 Beer / $13 Martinis/Negronis","4pm-7pm
$9 Cocktails / $6.50 Beer / $13 Martinis/Negronis","4pm-7pm
$9 Cocktails / $6.50 Beer / $13 Martinis/Negronis",,,,
The Phoenix,,"5pm-8pm
$90 Cocktail Pitchers / $32 Beer Pitchers","5pm-8pm
$90 Cocktail Pitchers / $32 Beer Pitchers","5pm-8pm
$90 Cocktail Pitchers / $32 Beer Pitchers","5pm-8pm
$90 Cocktail Pitchers / $32 Beer Pitchers","5pm-8pm
$90 Cocktail Pitchers / $32 Beer Pitchers",,,,
Phorage Weho,,"3-6pm
$7 Well / $5 Beers & Wine
Martini Mondays 
All Nite $12 All Martinis","3-6pm
$7 Well / $5 Beers & Wine
Tequila & Mezcal 
All Nite Top Shelf Double Pours & $2 off all Tequila/Mezcal","3-6pm
$7 Well / $5 Beers & Wine
Whiskey & Wine 
All Nite Top Shelf Double Pours & $2 off any Whiskey","3-6pm 
$7 Well / $5 Beers & Wine / $2 Off Small Bites","3-6pm 
$7 Well / $5 Beers & Wine / $2 Off Small Bites",,"3-6pm 
$7 Well / $5 Beers & Wine / $2 Off Small Bites",,N
Snake Pit Alehouse,,"3pm - Midnight
$8 wells / 
$6 select beers / food specials","3 - 7pm
$8 wells / 
$6 select beers; $2 Taco Tues / 
$5 Tecate","3 - 7pm
$8 wells / 
$6 select beers / food specials / Weds $6 Buffalo Wings","3 - 7pm
$8 wells / 
$6 select beers / food specials","3 - 7pm
$8 wells / 
$6 select beers / food specials",,"7 - 9pm
$8 wells / 
$6 select beers / food specials",JUKEBOX,N
Surly Goat,,"6pm-8pm
select drafts / wells
Trivia!","6-8pm
select drafts / wells","6-8pm
select drafts / wells
Karaoke!","6-8pm
select drafts / wells","6-8pm
select drafts / wells",,,"DARTS
OUTDOOR PATIO",N
Tacos Tu Madre,,"3pm-6pm
$10 Cocktails / $6 Beers + Food","3pm-6pm
$10 Cocktails / $6 Beers + Food","3pm-6pm
$10 Cocktails / $6 Beers + Food","3pm-6pm
$10 Cocktails / $6 Beers + Food","3pm-6pm
$10 Cocktails / $6 Beers + Food",,,,
The 3rd Stop,,"4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals","4 - 7pm; 11pm-1a
$6 draft beer /
$7 wine;
app deals",SPORTS WATCHIN',
Terroni,,"4 - 5:30pm
*Bar & Patio ONLY","4 - 5:30pm
*Bar & Patio ONLY","4 - 5:30pm
*Bar & Patio ONLY","4 - 5:30pm
*Bar & Patio ONLY","4 - 5:30pm
*Bar & Patio ONLY",,,,N
